"","Property ID","Host ID","Listing Title","Property Type","Listing Type","Created Date","Last Scraped Date","Country","State","City","Zipcode","Neighborhood","Metropolitan Statistical Area","Average Daily Rate","Annual Revenue LTM","Occupancy Rate LTM","Number of Bookings LTM","Number of Reviews","Overall Rating","Bedrooms","Bathrooms","Max Guests","Calendar Last Updated","Response Rate","Response Time (min)","Superhost","Cancellation Policy","Security Deposit","Cleaning Fee","Extra People Fee","Published Nightly Rate","Published Monthly Rate","Published Weekly Rate","Check-in Time","Checkout Time","Minimum Stay","Count Reservation Days LTM","Count Available Days LTM","Count Blocked Days LTM","Number of Photos","Business Ready","Instantbook Enabled","Listing URL","Listing Main Image URL","Latitude","Longitude","price_norm","photo_room_ratio"
"3",44212,72062,"West Inn 2 - East Village","Apartment","Private room",2010-08-08,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",126.9,17005,0.601,33,43,4.6,1,1,2,2016-10-26,100,82.42,"False","Strict",NA,NA,NA,125,3500,750,NA,"2PM",1,134,112,120,23,"False","No","https://www.airbnb.com/rooms/44212","https://a2.muscache.com/im/pictures/84364320-eea5-47bc-b5cd-3d22675d1119.jpg",40.7251782203575,-73.9803427235891,-66.0897729750033,11.5
"7",14474391,10453313,"East Village Cool","Apartment","Private room",2016-08-10,2016-10-30,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",101.39,2636,0.52,6,10,4.9,1,1,2,2016-10-30,100,24.52,"False","Strict",200,75,30,184,3052,763,"Anytime after 5PM","10AM",2,26,24,11,31,"False","No","https://www.airbnb.com/rooms/14474391","https://a2.muscache.com/im/pictures/2f86832c-56f5-49a5-b55d-5e4ab9f9a1dd.jpg",40.7247181777733,-73.9839921638727,-104.549976791695,15.5
"11",14339020,84780937,"Cozy Home in East Village","Apartment","Entire home/apt",2016-08-03,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",135.94,5982,0.88,13,4,4.5,0,1,2,2016-10-30,41,184.62,"False","Strict",300,85,25,204,3332,833,"Anytime after 3PM","11AM",1,44,6,11,7,"False","Yes","https://www.airbnb.com/rooms/14339020","https://a2.muscache.com/im/pictures/a314748c-7ea7-4d06-a3f5-11943ac3f842.jpg",40.7288104954494,-73.9778179691202,36.3616246795337,7
"22",10192197,43787973,"Inspiring private bedroom","Apartment","Private room",2015-12-25,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",110.36,12471,0.769,20,21,5,1,1,3,2016-06-14,100,13.42,"True","Strict",350,45,60,156,3108,777,"Anytime after 3PM","11AM",1,113,121,71,8,"False","No","https://www.airbnb.com/rooms/10192197","https://a2.muscache.com/im/pictures/cbe54588-62b0-496a-a486-07ae6c1f610b.jpg",40.7259712610693,-73.9807103352007,-58.3481408158403,4
"24",10070457,29128732,"Lovely Bedroom in East Village","Apartment","Private room",2015-12-18,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",89.6,3942,0.88,7,6,5,1,1,2,2016-10-30,100,50.09,"False","Flexible",NA,15,NA,135,3360,840,NA,NA,2,44,29,232,14,"False","No","https://www.airbnb.com/rooms/10070457","https://a2.muscache.com/im/pictures/811ced6f-c69b-4733-a311-d986a3e5d88e.jpg",40.7226502774968,-73.9829702655359,-73.0753497683949,7
"27",945297,5074654,"East Village Gay Friendly Dbl Room","Apartment","Private room",2013-02-16,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",116.07,39348,0.926,64,195,4.5,1,1,2,2016-10-22,100,2.13,"False","Strict",NA,20,20,130,3080,770,"Anytime after 12PM (noon)","11AM",1,339,27,0,13,"False","Yes","https://www.airbnb.com/rooms/945297","https://a0.muscache.com/im/pictures/27126467/767abbe2_original.jpg",40.728355231612,-73.9816339812275,-60.7320182018745,6.5
"28",3075573,15651493,"Best Village Location Studio Apt!","Apartment","Entire home/apt",2014-05-17,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",179.29,29224,0.906,34,73,4.6,0,1,2,2016-10-31,100,26.48,"False","Moderate",395,49,NA,217,4704,1043,"Anytime after 3PM","12PM (noon)",2,163,17,186,15,"False","No","https://www.airbnb.com/rooms/3075573","https://a2.muscache.com/im/pictures/42498522/b6c47b2a_original.jpg",40.7240754429488,-73.9863900233291,74.5371828500734,15
"30",14821118,17412119,"Sunny, Quiet East Village Studio in Great Locaiton","Apartment","Entire home/apt",2016-08-29,2016-11-02,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",154.69,2475,1,2,9,4.9,0,1,2,2016-10-22,100,4.43,"False","Strict",250,50,NA,200,4200,1050,"Anytime after 3PM","12PM (noon)",3,16,31,14,16,"False","No","https://www.airbnb.com/rooms/14821118","https://a2.muscache.com/im/pictures/1a6db227-ef56-412c-a9e8-69b7466b68f9.jpg",40.72955149777,-73.9792640392078,40.5426453847515,16
"34",7894907,1830864,"Cosy studio in East Village","Apartment","Entire home/apt",2015-08-13,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",138.15,20032,0.879,22,25,4.8,0,1,2,2016-09-14,100,23.4,"True","Moderate",150,60,NA,210,3800,1000,NA,NA,2,145,63,158,15,"False","No","https://www.airbnb.com/rooms/7894907","https://a0.muscache.com/im/pictures/102124099/3aef9ec5_original.jpg",40.7239533880463,-73.9800109922034,33.3971828498393,15
"37",9788564,50452790,"PRIVATE, FURNISHED, CLEAN STUDIO","Apartment","Entire home/apt",2015-12-02,2016-10-31,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",127.8,639,0.2,2,3,3.6,0,1,2,2015-12-27,NA,NA,"False","Strict",NA,NA,NA,125,3500,875,NA,NA,1,5,20,280,5,"False","No","https://www.airbnb.com/rooms/9788564","https://a2.muscache.com/im/pictures/1047ec4d-81fa-4fdb-9154-f2b5dd6b9c9a.jpg",40.7217194792444,-73.9798112339725,31.4591756319941,5
"54",2119629,10808237,"Fantastic location, cozy apartment","Apartment","Entire home/apt",2013-12-25,2016-11-01,"United States","New York","New York",10009,"East Village","New York-Newark-Jersey City, NY-NJ-PA Metro Area",139.81,5173,0.974,2,15,4.5,0,1,2,2016-04-26,100,29.27,"False","Flexible",NA,15,10,154,3892,834,NA,"12PM (noon)",3,37,1,328,10,"False","No","https://www.airbnb.com/rooms/2119629","https://a2.muscache.com/im/pictures/63340183/11fc4d62_original.jpg",40.7282379961011,-73.9846582289775,51.1207421586342,10
